Schnecke,Schne|cke
Scholle,Schol|le
Schwan,Schwan
Schwertfisch,Schwert|fisch
Schäferhund,Schä|fer|hund
Seehecht,See|hecht
Seepferdchen,See|pferd|chen
Seestern,See|stern
Seeteufel,See|teu|fel
Seewespe,See|wes|pe
Siamkatze,Si|am|kat|ze
Siebenschläfer,Sie|ben|schlä|fer
Silberfischchen,Sil|ber|fisch|chen
Skorpion,Skor|pi|on
Spiegelkarpfen,Spie|gel|karp|fen
Spinne,Spin|ne
Steinadler,Stein|ad|ler
Steinbutt,Stein|butt
Strandkrabbe,Strand|krab|be
Stör,Stör
Taube,Tau|be
Tausendfüßer,Tau|send|fü|ßer
Terrier,Ter|ri|er
Thunfisch,Thun|fisch
Tintenfisch,Tin|ten|fisch
Uhu,U|hu
Wachsmotte,Wachs|mot|te
Wal,Wal
Walfisch,Wal|fisch
Wallaby,Wal|la|by
Wanze,Wan|ze
Waschbär,Wasch|bär
Wattwurm,Watt|wurm
Weinbergschnecke,Wein|berg|schne|cke
Wels,Wels
Wespe,Wes|pe
Wildkatze,Wild|kat|ze
Wildschwein,Wild|schwein
Windhund,Wind|hund
Wisent,Wi|sent
Wolf,Wolf
Wolfsbarsch,Wolfs|barsch
Wüstenfuchs,Wüs|ten|fuchs
Zebra,Ze|bra
Zecke,Ze|cke
Ziege,Zie|ge
Zwergdommel,Zwerg|dom|mel
